abordagem;etapa;algoritmosUtilizados;permutacao;iteracao;inspecoesManuais;precision;recall;f-measure;da;dm;ndm;tp;fp;tn;fn
AS;only;10;1;0;0;0.9781021897810219;0.44816053511705684;0.6146788990825688;137;0;0;134;3;47652901;165
AS;only;10;1;1;60;0.9835164835164835;0.5986622073578596;0.7442827442827443;137;45;15;179;3;47652901;120
AS;only;10;1;2;74;0.9846153846153847;0.6421404682274248;0.7773279352226722;137;58;16;192;3;47652901;107
AS;only;10;1;3;79;0.9846153846153847;0.6421404682274248;0.7773279352226722;132;63;16;192;3;47652901;107
AS;only;10;1;4;79;0.9846153846153847;0.6421404682274248;0.7773279352226722;132;63;16;192;3;47652901;107
AS;only;10;1;5;268;0.9876543209876543;0.802675585284281;0.885608856088561;129;114;154;240;3;47652901;59
AS;only;10;1;6;288;0.9883720930232558;0.8528428093645485;0.9156193895870736;129;129;159;255;3;47652901;44
AS;only;10;1;7;347;0.99609375;0.8528428093645485;0.9189189189189189;70;186;161;255;1;47652903;44
AS;only;10;1;8;353;0.9961389961389961;0.862876254180602;0.9247311827956988;68;191;162;258;1;47652903;41
AS;only;10;1;9;380;1.0;0.862876254180602;0.9263913824057451;42;216;164;258;0;47652904;41
AS;only;10;2;0;0;0.9761904761904762;0.5484949832775919;0.702355460385439;168;0;0;164;4;47652900;135
AS;only;10;2;1;47;0.9832402234636871;0.5886287625418061;0.7364016736401674;137;42;5;176;3;47652901;123
AS;only;10;2;2;54;0.9834254143646409;0.5953177257525084;0.7416666666666668;132;49;5;178;3;47652901;121
AS;only;10;2;3;98;0.9863013698630136;0.7224080267558528;0.8339768339768339;132;87;11;216;3;47652901;83
AS;only;10;2;4;159;0.9953917050691244;0.7224080267558528;0.8372093023255813;71;146;13;216;1;47652903;83
AS;only;10;2;5;571;0.9959183673469387;0.8160535117056856;0.8970588235294118;71;174;397;244;1;47652903;55
AS;only;10;2;6;604;0.9959349593495935;0.8193979933110368;0.8990825688073395;71;175;429;245;1;47652903;54
AS;only;10;2;7;616;0.996078431372549;0.8494983277591973;0.9169675090252708;69;186;430;254;1;47652903;45
AS;only;10;2;8;616;0.996078431372549;0.8494983277591973;0.9169675090252708;69;186;430;254;1;47652903;45
AS;only;10;2;9;639;0.99609375;0.8528428093645485;0.9189189189189189;69;187;452;255;1;47652903;44
AS;only;10;3;0;0;0.9086294416243654;0.5986622073578596;0.7217741935483871;197;0;0;179;18;47652886;120
AS;only;10;3;1;67;0.9846153846153847;0.6421404682274248;0.7773279352226722;144;51;16;192;3;47652901;107
AS;only;10;3;2;76;0.9846153846153847;0.6421404682274248;0.7773279352226722;135;60;16;192;3;47652901;107
AS;only;10;3;3;265;0.9876543209876543;0.802675585284281;0.885608856088561;132;111;154;240;3;47652901;59
AS;only;10;3;4;268;0.9878048780487805;0.8127090301003345;0.8917431192660551;132;114;154;243;3;47652901;56
AS;only;10;3;5;287;0.9884615384615385;0.8595317725752508;0.9194991055456171;132;128;159;257;3;47652901;42
AS;only;10;3;6;287;0.9884615384615385;0.8595317725752508;0.9194991055456171;132;128;159;257;3;47652901;42
AS;only;10;3;7;349;0.9961240310077519;0.8595317725752508;0.9228007181328546;70;188;161;257;1;47652903;42
AS;only;10;3;8;719;0.9962121212121212;0.8795986622073578;0.9342806394316163;70;194;525;263;1;47652903;36
AS;only;10;3;9;744;0.9962264150943396;0.882943143812709;0.9361702127659574;68;197;547;264;1;47652903;35
